Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
2004,6,1.196,0.892,0.825,0.470,0.460,0.096,0.066,0.479,0.826,0.729,0.067,0.030,1.450,7.740,-0.088,0
2004,7,1.148,0.915,0.853,0.493,0.486,0.119,0.099,0.507,0.816,0.734,0.062,0.020,1.470,7.730,-0.065,0
2004,8,1.293,0.934,0.874,0.505,0.502,0.130,0.095,0.514,0.839,0.744,0.060,0.035,1.500,7.730,-0.116,0
2004,9,1.377,1.050,0.998,0.650,0.645,0.291,0.254,0.652,0.796,0.707,0.052,0.037,1.500,7.780,0.044,0
2004,10,1.382,1.073,1.021,0.676,0.671,0.321,0.297,0.685,0.776,0.700,0.052,0.024,1.490,7.720,-0.167,0
2004,11,1.561,0.955,0.882,0.534,0.528,0.174,0.126,0.540,0.829,0.708,0.073,0.048,1.590,7.810,-0.167,0
2004,12,1.283,0.844,0.761,0.422,0.416,0.072,0.032,0.438,0.812,0.689,0.083,0.040,1.590,7.820,-0.282,0
2005,1,1.205,0.917,0.847,0.513,0.508,0.170,0.127,0.522,0.790,0.677,0.070,0.043,1.490,7.730,-0.092,0
2005,2,1.268,0.954,0.889,0.542,0.536,0.184,0.141,0.548,0.813,0.705,0.065,0.043,1.520,7.830,-0.181,0
2005,3,1.182,0.870,0.815,0.468,0.463,0.111,0.073,0.472,0.797,0.704,0.055,0.038,1.490,7.810,-0.378,0
2005,4,1.291,0.987,0.926,0.574,0.569,0.211,0.173,0.580,0.814,0.715,0.061,0.038,1.430,7.740,-0.077,0
2005,5,1.523,1.034,0.976,0.621,0.613,0.251,0.209,0.621,0.825,0.725,0.058,0.042,1.410,7.720,0.025,0
2005,6,1.237,0.957,0.901,0.549,0.541,0.182,0.153,0.555,0.804,0.719,0.056,0.029,1.440,7.700,-0.003,0
2005,7,1.144,0.972,0.903,0.553,0.547,0.191,0.168,0.570,0.804,0.712,0.069,0.023,1.470,7.730,-0.005,0
2005,8,1.161,0.939,0.883,0.537,0.532,0.182,0.158,0.548,0.781,0.701,0.056,0.024,1.460,7.740,0.046,0
2005,9,1.255,0.991,0.933,0.591,0.583,0.232,0.194,0.593,0.797,0.701,0.058,0.038,1.600,7.920,-0.014,0
2005,10,1.460,1.030,0.964,0.647,0.624,0.284,0.260,0.645,0.770,0.680,0.066,0.024,,,-0.250,0
2005,11,1.060,0.838,0.755,0.413,0.407,0.059,0.026,0.432,0.812,0.696,0.083,0.033,1.680,7.800,-0.196,0
2005,12,1.145,0.816,0.737,0.389,0.387,0.036,-0.009,0.403,0.825,0.701,0.079,0.045,1.590,7.850,-0.286,0
2006,1,1.350,0.837,0.753,0.397,0.393,0.034,-0.008,0.415,0.845,0.719,0.084,0.042,1.370,7.590,-0.304,0
2006,2,1.194,0.810,0.730,0.380,0.377,0.025,-0.030,0.390,0.840,0.705,0.080,0.055,1.580,7.820,-0.317,0
2006,3,1.135,0.828,0.778,0.412,0.407,0.037,0.003,0.415,0.825,0.741,0.050,0.034,1.450,7.730,-0.221,0
2006,4,1.193,0.903,0.840,0.475,0.472,0.105,0.062,0.482,0.841,0.735,0.063,0.043,1.460,7.740,-0.178,0
2006,5,1.292,0.999,0.925,0.571,0.563,0.201,0.179,0.589,0.820,0.724,0.074,0.022,1.460,7.740,-0.056,0
2006,6,1.111,0.890,0.826,0.470,0.466,0.107,0.081,0.485,0.809,0.719,0.064,0.026,1.470,7.780,-0.162,0
2006,7,1.001,0.838,0.767,0.418,0.411,0.055,0.028,0.433,0.810,0.712,0.071,0.027,1.500,7.750,-0.251,0
2006,8,1.274,0.936,0.862,0.513,0.505,0.149,0.122,0.529,0.814,0.713,0.074,0.027,1.460,7.750,-0.250,0
2006,9,1.683,1.067,0.998,0.654,0.635,0.272,0.247,0.657,0.820,0.726,0.069,0.025,,,-0.127,0
2006,10,1.986,1.029,0.943,0.597,0.595,0.247,0.189,0.609,0.840,0.696,0.086,0.058,1.570,7.850,-0.283,0
2006,11,2.020,1.066,0.986,0.634,0.633,0.279,0.233,0.649,0.833,0.707,0.080,0.046,1.600,7.850,-0.096,0
2006,12,1.169,0.814,0.731,0.364,0.363,-0.006,-0.051,0.381,0.865,0.737,0.083,0.045,1.650,7.880,-0.275,0
2007,1,1.028,0.789,0.714,0.365,0.362,0.010,-0.028,0.380,0.817,0.704,0.075,0.038,1.620,7.880,-0.305,0
2007,2,1.076,0.682,0.613,0.265,0.259,-0.095,-0.150,0.266,0.832,0.708,0.069,0.055,1.540,7.710,-0.602,0
2007,3,1.089,0.744,0.692,0.336,0.335,-0.022,-0.079,0.332,0.823,0.714,0.052,0.057,1.490,7.750,-0.608,0
2007,4,1.364,0.899,0.828,0.478,0.476,0.124,0.081,0.490,0.818,0.704,0.071,0.043,1.470,7.750,-0.183,0
2007,5,1.262,0.893,0.819,0.466,0.460,0.102,0.062,0.477,0.831,0.717,0.074,0.040,1.500,7.780,-0.407,0
2007,6,1.467,0.947,0.873,0.526,0.517,0.162,0.135,0.541,0.812,0.711,0.074,0.027,1.510,7.750,-0.081,0
2007,7,1.038,0.898,0.837,0.475,0.470,0.104,0.083,0.490,0.815,0.733,0.061,0.021,1.460,7.720,-0.201,0
2007,8,1.221,0.958,0.900,0.539,0.532,0.164,0.129,0.544,0.829,0.736,0.058,0.035,1.430,7.760,-0.041,0
2007,9,1.190,0.974,0.910,0.545,0.541,0.172,0.142,0.558,0.832,0.738,0.064,0.030,1.430,7.730,-0.138,0
2007,10,1.372,0.990,0.923,0.562,0.557,0.192,0.161,0.576,0.829,0.731,0.067,0.031,1.490,7.740,-0.069,0
2007,11,1.449,0.918,0.830,0.480,0.477,0.124,0.080,0.499,0.838,0.706,0.088,0.044,1.670,7.860,-0.184,0
2007,12,1.352,0.842,0.764,0.413,0.411,0.058,0.014,0.428,0.828,0.706,0.078,0.044,1.710,7.900,-0.312,0
2008,1,1.003,0.773,0.709,0.371,0.367,0.026,-0.018,0.377,0.791,0.683,0.064,0.044,1.620,7.870,-0.326,0
2008,2,1.052,0.771,0.706,0.351,0.350,-0.006,-0.058,0.357,0.829,0.712,0.065,0.052,1.620,7.870,-0.290,0
2008,3,1.177,0.810,0.736,0.396,0.391,0.045,-0.005,0.402,0.815,0.691,0.074,0.050,1.600,7.860,-0.375,0
2008,4,1.439,0.978,0.916,0.557,0.555,0.195,0.161,0.569,0.817,0.721,0.062,0.034,1.570,7.760,-0.155,0
2008,5,1.520,1.016,0.933,0.576,0.573,0.214,0.160,0.588,0.856,0.719,0.083,0.054,1.560,7.790,-0.117,0
2008,6,1.121,0.921,0.844,0.483,0.477,0.110,0.079,0.500,0.842,0.734,0.077,0.031,1.500,7.800,-0.106,0
2008,7,0.995,0.855,0.789,0.425,0.417,0.046,0.018,0.436,0.837,0.743,0.066,0.028,1.470,7.780,-0.229,0
2008,8,1.156,0.936,0.881,0.515,0.509,0.137,0.108,0.522,0.828,0.744,0.055,0.029,1.450,7.790,-0.095,0
2008,9,1.786,1.048,0.992,0.639,0.635,0.278,0.232,0.640,0.816,0.714,0.056,0.046,1.500,7.780,-0.022,0
2008,10,1.529,0.980,0.921,0.570,0.568,0.214,0.164,0.572,0.816,0.707,0.059,0.050,1.560,7.860,-0.366,0
2008,11,1.174,0.914,0.834,0.484,0.480,0.127,0.079,0.496,0.835,0.707,0.080,0.048,1.600,7.860,-0.210,0
2008,12,1.118,0.721,0.647,0.299,0.295,-0.057,-0.110,0.305,0.831,0.704,0.074,0.053,1.650,7.880,-0.450,0
2009,1,1.093,0.757,0.688,0.338,0.333,-0.021,-0.074,0.341,0.831,0.709,0.069,0.053,1.580,7.890,-0.465,0
2009,2,1.019,0.746,0.692,0.339,0.333,-0.026,-0.079,0.333,0.825,0.718,0.054,0.053,1.630,7.880,-0.342,0
2009,3,1.591,0.895,0.831,0.468,0.464,0.097,0.049,0.472,0.846,0.734,0.064,0.048,1.490,7.790,-0.273,0
2009,4,1.220,0.889,0.816,0.459,0.458,0.099,0.063,0.476,0.826,0.717,0.073,0.036,1.490,7.810,-0.191,0
2009,5,1.187,0.891,0.837,0.474,0.470,0.104,0.075,0.483,0.816,0.733,0.054,0.029,1.470,7.730,-0.124,0
2009,6,1.308,1.091,1.024,0.659,0.655,0.287,0.261,0.676,0.830,0.737,0.067,0.026,1.440,7.810,0.042,0
2009,7,1.200,0.984,0.922,0.563,0.559,0.196,0.169,0.576,0.815,0.726,0.062,0.027,1.520,7.780,0.024,0
2009,8,1.114,0.913,0.856,0.495,0.494,0.131,0.108,0.510,0.805,0.725,0.057,0.023,1.490,7.770,-0.122,0
2009,9,1.501,1.093,1.042,0.694,0.688,0.333,0.299,0.696,0.794,0.709,0.051,0.034,1.470,7.780,0.126,0
2009,10,1.567,1.065,1.010,0.659,0.654,0.299,0.256,0.660,0.809,0.711,0.055,0.043,1.610,7.830,-0.103,0
2009,11,2.355,1.214,1.119,0.765,0.764,0.409,0.359,0.786,0.855,0.710,0.095,0.050,1.610,7.870,-0.119,0
2009,12,1.874,1.007,0.914,0.556,0.554,0.195,0.128,0.567,0.879,0.719,0.093,0.067,1.620,7.890,-0.369,0
2010,1,1.233,0.938,0.870,0.510,0.505,0.141,0.093,0.516,0.845,0.729,0.068,0.048,1.560,7.810,-0.355,0
2010,2,1.755,0.948,0.862,0.511,0.506,0.151,0.096,0.522,0.852,0.711,0.086,0.055,1.570,7.800,-0.294,0
2010,3,1.427,1.082,1.033,0.664,0.660,0.286,0.246,0.664,0.836,0.747,0.049,0.040,1.520,7.790,-0.085,0
2010,4,1.378,0.966,0.899,0.537,0.533,0.167,0.137,0.552,0.829,0.732,0.067,0.030,1.530,7.830,-0.091,0
2010,5,1.231,0.952,0.884,0.521,0.518,0.152,0.122,0.537,0.830,0.732,0.068,0.030,1.480,7.780,-0.080,0
2010,6,1.171,0.954,0.893,0.535,0.530,0.168,0.145,0.549,0.809,0.725,0.061,0.023,1.480,7.780,0.033,0
2010,7,1.127,0.927,0.856,0.492,0.487,0.118,0.087,0.507,0.840,0.738,0.071,0.031,1.450,7.730,-0.066,0
2010,8,1.411,1.019,0.956,0.594,0.587,0.218,0.191,0.605,0.828,0.738,0.063,0.027,1.400,7.730,-0.013,0
2010,9,1.196,1.010,0.949,0.591,0.585,0.220,0.188,0.599,0.822,0.729,0.061,0.032,1.530,7.760,-0.126,0
2010,10,1.454,0.996,0.932,0.571,0.566,0.201,0.162,0.579,0.834,0.731,0.064,0.039,1.530,7.830,-0.224,0
2010,11,1.420,1.032,0.964,0.603,0.598,0.233,0.202,0.617,0.830,0.731,0.068,0.031,1.530,7.800,-0.037,0
2010,12,1.398,0.946,0.854,0.494,0.491,0.128,0.090,0.518,0.856,0.726,0.092,0.038,1.640,7.940,-0.264,0
2011,1,1.082,0.871,0.805,0.443,0.440,0.075,0.028,0.449,0.843,0.730,0.066,0.047,1.520,7.840,-0.250,0
2011,2,1.272,0.809,0.752,0.392,0.387,0.023,-0.024,0.392,0.833,0.729,0.057,0.047,1.480,7.820,-0.227,0
2011,3,1.282,0.930,0.877,0.515,0.512,0.148,0.108,0.519,0.822,0.729,0.053,0.040,1.610,7.900,-0.162,0
2011,4,1.206,0.892,0.838,0.474,0.471,0.104,0.059,0.476,0.833,0.734,0.054,0.045,1.540,7.790,-0.222,0
2011,5,1.387,1.023,0.966,0.604,0.601,0.235,0.215,0.619,0.808,0.731,0.057,0.020,1.500,7.770,-0.043,0
2011,6,1.252,1.016,0.956,0.594,0.588,0.221,0.192,0.604,0.824,0.735,0.060,0.029,1.470,7.750,0.047,0
2011,7,1.226,0.976,0.917,0.550,0.542,0.167,0.137,0.556,0.839,0.750,0.059,0.030,1.420,7.710,-0.060,0
2011,8,2.302,1.063,0.983,0.602,0.593,0.203,0.154,0.609,0.909,0.780,0.080,0.049,1.460,7.750,-0.056,0
2011,9,1.331,1.110,1.055,0.677,0.670,0.286,0.255,0.682,0.855,0.769,0.055,0.031,1.440,7.790,0.100,0
2011,10,1.622,1.054,0.983,0.610,0.603,0.223,0.178,0.616,0.876,0.760,0.071,0.045,1.440,7.790,-0.214,0
2011,11,1.471,0.957,0.876,0.505,0.500,0.124,0.066,0.512,0.891,0.752,0.081,0.058,1.530,7.780,-0.322,0
2011,12,1.066,0.895,0.829,0.460,0.458,0.087,0.052,0.473,0.843,0.742,0.066,0.035,1.620,7.890,-0.151,0
2012,1,1.217,0.773,0.726,0.374,0.372,0.018,-0.029,0.372,0.802,0.708,0.047,0.047,1.610,7.850,-0.329,0
2012,2,1.197,0.827,0.782,0.418,0.412,0.042,-0.011,0.408,0.838,0.740,0.045,0.053,1.530,7.770,-0.493,0
2012,3,1.231,0.881,0.836,0.478,0.474,0.112,0.080,0.480,0.801,0.724,0.045,0.032,1.490,7.770,-0.387,0
2012,4,1.363,0.968,0.914,0.549,0.546,0.178,0.137,0.552,0.831,0.736,0.054,0.041,1.520,7.780,-0.061,0
2012,5,1.276,0.994,0.929,0.550,0.549,0.169,0.143,0.569,0.851,0.760,0.065,0.026,1.500,7.780,-0.043,0
2012,6,1.517,1.081,1.021,0.654,0.647,0.272,0.240,0.660,0.841,0.749,0.060,0.032,1.490,7.790,0.094,0
2012,7,1.182,1.004,0.943,0.564,0.559,0.176,0.143,0.573,0.861,0.767,0.061,0.033,1.470,7.770,-0.020,0
